"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2016",Florida,Pensacola,"3 Talladega Trail",1,1,N/A
"December 31, 2016",Georgia,Covington,"9176 US 278",0,1,N/A
"December 31, 2016",Michigan,Wyoming,"3500 block of Goodman Avenue SW",0,1,N/A
"December 31, 2016",Nevada,Reno,"701 E 7th St",0,1,N/A
"December 31, 2016",Oklahoma,Norman,"1800 Block of Virginia St",1,0,N/A
"December 30, 2016",Alabama,Montgomery,"100 block of Longbrook Drive",2,2,N/A
"December 30, 2016",Florida,Destin,"405 Harbor Blvd",0,1,N/A
"December 30, 2016",Arizona,Phoenix,"71st and Indian School",0,1,N/A
"December 30, 2016",Arizona,Laveen,"5115 W Southern Ave",0,1,N/A
"December 30, 2016",Delaware,Magnolia,"Flint Dr",0,1,N/A
"December 30, 2016","South Carolina","Myrtle Beach","S Myrtle St",0,1,N/A
"December 30, 2016",Illinois,Chicago,"8200 block of South Ingleside",1,1,N/A
"December 30, 2016",Virginia,Danville,"300 block of Wooding Avenue",0,1,N/A
"December 30, 2016",Texas,"San Antonio","400 block of Nash Boulevard",1,1,N/A
"December 30, 2016",Illinois,Chicago,"4800 block of West Ferdinand Street",1,0,N/A
"December 29, 2016",Georgia,Newnan,"1363 Hwy 29 S",0,0,N/A
"December 29, 2016",Pennsylvania,Clarksville,"120 North St",1,0,N/A
"December 29, 2016",Louisiana,Shreveport,"5189 Shreveport Blanchard Highway",0,1,N/A
"December 29, 2016",Louisiana,"New Orleans","100 block of Cypress Grove Court",1,1,N/A
"December 29, 2016",Michigan,Detroit,"14000 block of Fordham",1,0,N/A
"December 29, 2016",Georgia,Atlanta,"16th and Spring",0,1,N/A
"December 29, 2016",Connecticut,Hartford,"198 South Quaker Lane",0,0,N/A
"December 29, 2016",Tennessee,Antioch,"Lori Drive",0,0,N/A
"December 28, 2016",Florida,"Vero Beach","6375 W 85th St",0,0,N/A
"December 28, 2016",Virginia,"Washington (county)","27000 block of Fiesta Drive",0,1,N/A
"December 28, 2016",Florida,"Tampa (Temple Terrace)","11500 Summit West",1,1,N/A
"December 28, 2016","North Carolina","Bladen (county)","Ronald Britt Road",0,0,N/A
"December 28, 2016",Texas,Houston,"4600 block of Ridgerod Lane",0,1,N/A
"December 28, 2016",Texas,"San Antonio","800 block of South Brownleaf Drive",0,3,N/A
"December 28, 2016",Montana,"Wolf Creek","4000 block of Little Wolf Creek Road",0,1,N/A
"December 27, 2016",Ohio,Cleveland,"4133 Lorain Ave",1,0,N/A
"December 27, 2016",Florida,Campbellton,"2600 block of Highway 2",0,1,N/A
"December 27, 2016",Wisconsin,Milwaukee,"63rd and Euclid",1,1,N/A
"December 27, 2016",Louisiana,"Baton Rouge",N/A,0,0,N/A
"December 27, 2016",Texas,"San Antonio","150 block of Farrel Street",0,1,N/A
"December 27, 2016",Kentucky,Louisa,"128 Aspen Drive",1,0,N/A
"December 27, 2016",Ohio,Akron,"1000 block of Hammel Street",0,0,N/A
"December 27, 2016",Georgia,Cartersville,"2471 Highway 411",1,0,N/A
"December 26, 2016",Georgia,Mableton,"1127 Veterans Memorial Hwy SW",1,0,N/A
"December 26, 2016",Florida,"Plant City","1705 Charles Avenue",0,1,N/A
"December 26, 2016",Florida,Ocala,"Southeast 92nd Street",0,0,N/A
"December 26, 2016",Oklahoma,"Oklahoma City","3300 Block of SE 89th St",0,1,N/A
"December 26, 2016",Florida,Clearwater,"2122 Bradford St",0,1,N/A
"December 26, 2016",Kentucky,"North Middletown","Main Street",0,0,N/A
"December 25, 2016","North Carolina",Asheboro,"600 block of Wainman Avenue",0,1,N/A
"December 25, 2016",Texas,Humble,"2754 Longleaf Pines Ln",1,0,N/A
"December 25, 2016",Tennessee,Nashville,"1428 Elm Hill Pike",1,0,N/A
"December 25, 2016",Illinois,Washington,"100 block of Stahl Street",0,1,N/A
"December 25, 2016","North Carolina","Carteret (county)","Sandspur Lane",0,1,N/A
