"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2016",Florida,Pensacola,"3 Talladega Trail",1,1,N/A
"December 31, 2016",Florida,Loxahatchee,"13289 Compton Rd",1,0,N/A
"December 31, 2016",Minnesota,Mankato,"1900 Premier Dr",1,0,N/A
"December 31, 2016",Montana,Columbus,"E 1st Ave N and E 2nd Ave N",1,0,N/A
"December 30, 2016",Florida,Miami,"10101 W Indigo St",1,0,N/A
"December 30, 2016","New Jersey",Paterson,"Martin Street",0,1,N/A
"December 30, 2016",Arizona,Phoenix,"12th Street and Northern Ave",1,0,N/A
"December 30, 2016",Wisconsin,"La Crosse","N3075 WI 16",0,1,N/A
"December 30, 2016",Texas,"Fort Worth","5300 block of Wonder Dr",0,1,N/A
"December 29, 2016",Maryland,Chestertown,"200 block of Edmore Road",1,1,N/A
"December 29, 2016","North Carolina",Bostic,"202 Whippoorwill Drive",0,1,N/A
"December 29, 2016",Texas,"Mission (Palmview)","700 block of Goodwin Acres Road",0,2,N/A
"December 29, 2016",Michigan,Detroit,"14000 block of Hampshire",0,1,N/A
"December 29, 2016",Missouri,"O Fallon","801 Belleau Creek Road",1,0,N/A
"December 29, 2016",Michigan,Detroit,N/A,0,1,N/A
"December 29, 2016",Arizona,"Paradise Valley","N Tatum Blvd and Mockingbird Ln",0,1,N/A
"December 29, 2016",Texas,Weatherford,"2150 Tin Top Road",0,2,N/A
"December 28, 2016",Louisiana,Lafayette,"200 block of Rue Royale",0,1,N/A
"December 28, 2016",Illinois,"Machesney Park","1028 Minns Drive",0,3,N/A
"December 28, 2016",Tennessee,"Spring Hill","1107 Weaver Farm Lane",1,0,N/A
"December 27, 2016",Kentucky,"La Grange (Lagrange)","2605 KY 146",1,0,N/A
"December 27, 2016",Texas,Campbellton,N/A,1,0,N/A
"December 27, 2016",Illinois,"Riverside (North Riverside)","2208 S. Harlem Ave",1,0,N/A
"December 27, 2016",Texas,"Big Spring","10th and Owens",0,1,N/A
"December 27, 2016",California,"Grass Valley","13000 block of Brookview Drive",1,0,N/A
"December 27, 2016","North Carolina",Gastonia,"3209 W Franklin Blvd",0,1,N/A
"December 27, 2016",Tennessee,Whiteside,"Highway 134",1,0,N/A
"December 27, 2016",Texas,Pearland,"2414 County Road 90",1,0,N/A
"December 27, 2016","South Dakota",Kyle,N/A,1,0,N/A
"December 26, 2016",Virginia,"Louisa (county)","9000 block of Louisa Road",0,1,N/A
"December 26, 2016",Arizona,Phoenix,"Interstate 17",0,3,N/A
"December 26, 2016",California,Riverside,"Main and Spruce street",0,1,N/A
"December 25, 2016",Oregon,"Portland (King City)","11950 SW King James Place",2,1,N/A
"December 25, 2016",Florida,Middleburg,"Calendula Avenue and Cosmos Avenue",1,0,N/A
"December 25, 2016","District of Columbia",Washington,"3200 Block of Walnut St",1,0,N/A
"December 25, 2016",Colorado,Frisco,"741 N Summit Blvd",0,1,N/A
"December 25, 2016",Arkansas,Desha,"Jamestown Road",1,0,N/A
"December 24, 2016",Florida,"Lake Wales","7342 Hastings Road",1,0,N/A
"December 24, 2016",California,"Pico Rivera","3400 block of Greenglade Avenue",1,0,N/A
"December 24, 2016",Alabama,Gadsden,"1100 block of Jacksonville Court",2,0,N/A
"December 24, 2016",Georgia,Buford,"1457 Castleberry Drive",0,1,N/A
"December 23, 2016",Pennsylvania,Pottstown,"1700 block of Prospect Ave",1,1,N/A
"December 23, 2016",Tennessee,"Jefferson City","1200 block of Cora Road",0,1,N/A
"December 23, 2016",Maryland,Pikesville,"4600 block of Debilen Circle",0,1,N/A
"December 23, 2016",Pennsylvania,Erie,"East 7th and Tacoma Road",0,1,N/A
"December 23, 2016",Oregon,Bend,"Bond St and Franklin Ave",1,0,N/A
"December 23, 2016",California,"El Monte","Esto Avenue and Fieldcrest Street",1,0,N/A
"December 22, 2016",Florida,"Palm Harbor","252 Whisper Lake Road",1,0,N/A
"December 22, 2016",Maryland,"Capitol Heights","4100 block of Byers Street",1,0,N/A
"December 21, 2016",Florida,Ocala,"1431 SW 1st Ave",0,1,N/A
"December 21, 2016",Oklahoma,Tulsa,"2600 block of Utica Avenue",1,0,N/A
"December 21, 2016",Indiana,Knox,"3021 S. U.S. 35",1,0,N/A
"December 21, 2016","New Jersey",Belleville,"Joralemon Street",0,1,N/A
"December 21, 2016",Oklahoma,Foss,"400 block of Iroquois",1,0,N/A
"December 21, 2016",Arkansas,Sherwood,"Whitewood and Woodruff",0,1,N/A
"December 21, 2016",Nevada,Reno,"444 Vine Street",1,0,N/A
"December 21, 2016",California,Stockton,"2300 block of Waterloo Road",1,0,N/A
"December 21, 2016",California,Coalinga,"661 West College Avenue",1,0,N/A
